Fecha,Riesgo,Precios,Crédito,Expectativas,Desempeño,FCI
2001-01-01,-0.23776604678298063,0.06613542148229444,0.40581585624562827,0.05325256852241234,0.808434023741057,1.0958718232084115
2001-02-01,-0.20404247987231003,0.05767286927471589,0.34873684312119385,0.04602195646669037,0.6951944631143769,0.9435836521046671
2001-03-01,-0.19050165415963402,0.05506904634044374,0.3268128290800591,0.04337618935986247,0.6514627673763951,0.8862191779971262
2001-04-01,-0.17797807960580123,0.05236880929703638,0.30692254664653107,0.04097611104848352,0.611720891503253,0.8340102788895025
2001-05-01,-0.1477636150652492,0.04425735306565971,0.2561348386475076,0.034396533257561736,0.5104631481904209,0.6974882580959006
2001-06-01,-0.1327045413002104,0.04036958265245266,0.231206470076829,0.03123860905150824,0.460827146442475,0.6309372669230545
2001-07-01,-0.12852781671265875,0.03992137096657301,0.2256492980179742,0.030720190353026054,0.450143153211933,0.6179061958368476
2001-08-01,-0.12156164518471783,0.038868484813668815,0.21528721284632044,0.02952096012925992,0.429443835807048,0.5915588484115794
2001-09-01,-0.11478542720226696,0.037772080128295187,0.2051830096388226,0.028337386564704064,0.409274106439971,0.5657811555695259
2001-10-01,-0.11151868916022217,0.037717519944771224,0.2009558637663346,0.027945860948187934,0.40082895694112497,0.5559295124401965
2001-11-01,-0.0891117168376953,0.03065814164708715,0.1617092984058601,0.022621570925565965,0.322225362188652,0.44810265632946994
2001-12-01,-0.0763695796543249,0.027051694850877793,0.13964802118585076,0.019851130845352664,0.27837488465161797,0.38855615187937415
2002-01-01,-0.06725651101863181,0.024488546339519093,0.12383440952855712,0.017879529760763357,0.246952910615182,0.34589888522538975
2002-02-01,-0.057904516612483296,0.021877194680455587,0.10807142895162439,0.01580338939347778,0.21524029180819898,0.30308778822127347
2002-03-01,-0.05128430379275848,0.019991163521488102,0.09668254198129375,0.014283492035249123,0.19245041380288458,0.272123307548157
2002-04-01,-0.04539192631667893,0.018178235039528735,0.08607114587944592,0.012818901797852333,0.17136763359233842,0.24304398999248641
2002-05-01,-0.04567416770772295,0.018665985348559566,0.08682489991722527,0.013001889624132635,0.1730145695513664,0.24583317673356087
2002-06-01,-0.03406739795143703,0.013885481591726602,0.06395915846246075,0.009578342810612645,0.1278659814171763,0.1812215663305392
2002-07-01,-0.029023043375457993,0.01176355961122581,0.05375404244222125,0.008056949532256316,0.1078335726641685,0.15238508087441385
2002-08-01,-0.030347376859998658,0.012197962462135184,0.0553872420480285,0.008309306227525334,0.1114912307044867,0.15703836458217704
2002-09-01,-0.02143214623097731,0.00848065506216417,0.03839631260146142,0.005772850202575249,0.0775820263142853,0.1087996979495088
2002-10-01,-0.027842372281206135,0.01079231741030526,0.04882338072867469,0.007338210467943839,0.0990389084401915,0.13815044476590918
2002-11-01,-0.03243435885105,0.012197861072119013,0.05542081848681051,0.008301419404332558,0.1129658507851039,0.156451590897316
2002-12-01,-0.02931200603220785,0.010659155014446494,0.048717728336336724,0.0072708241268366345,0.0998154282219787,0.1371511296673907
2003-01-01,0.008821139934816778,-0.003091268812132322,-0.014201756105228525,-0.002112198579220312,-0.0292381621983335,-0.03982224576009788
2003-02-01,0.006959599314246745,-0.002384259902481987,-0.010912015224750897,-0.0016282335002114562,-0.022515204271997,-0.030480113585194594
2003-03-01,0.011099346081964603,-0.0037538347447621046,-0.016979859480998876,-0.002558450865133436,-0.035055689450294,-0.047248488459223824
2003-04-01,0.009049676623203053,-0.0030827328026996888,-0.01359125715155443,-0.00208772420745908,-0.028061771895446702,-0.03777380943395685
2003-05-01,0.010038445296100875,-0.003497770591080831,-0.014853889785626746,-0.002337988450041218,-0.0306756980942331,-0.04132690162488102
2003-06-01,0.010764285193241414,-0.0038474198647537334,-0.015781453634652772,-0.002547237588876085,-0.0325937007005875,-0.04400552659562867
2003-07-01,0.033684721618037206,-0.012409042945817518,-0.049184062995735404,-0.00812613147705537,-0.1013757775927071,-0.13741029339327815
2003-08-01,0.048233266985259794,-0.01835720756595119,-0.0704023149768528,-0.01192176630704809,-0.1447345196119843,-0.19718254147657654
2003-09-01,0.04528415537147966,-0.01780370784244075,-0.06633633060742204,-0.011499029591555748,-0.1359857043898651,-0.18634061705980395
2003-10-01,0.05102378066034748,-0.020784092770940607,-0.07521503306780365,-0.013318038400454162,-0.1537167921793092,-0.2120101757581601
2003-11-01,0.041923500414941396,-0.017705834100056744,-0.06236604127090035,-0.01130276116023936,-0.1270901181942245,-0.1765412543104795
2003-12-01,0.048267763343026376,-0.021159989386864624,-0.07260092976887766,-0.013464745094485893,-0.1474708847018151,-0.2064287856090169
2004-01-01,0.07336841741607185,-0.03342498823364459,-0.11177646983488006,-0.021174602464136164,-0.22619919745591,-0.3192068405724989
2004-02-01,0.06561725478769435,-0.031069540982901527,-0.10141862938906551,-0.01955245195231926,-0.2045768124033521,-0.291000179939944
2004-03-01,0.06609891950466738,-0.032548487600109186,-0.1037924141507852,-0.02036001945823673,-0.20864021785959141,-0.2992422195640551
2004-04-01,0.06710801463743124,-0.03435174927271372,-0.10699544213592552,-0.021350270362861898,-0.214307809028213,-0.3098972561622829
2004-05-01,0.07304409703225617,-0.03891041240369968,-0.11872211074148067,-0.024088660470919246,-0.236828739335039,-0.34550582591888246
2004-06-01,0.06580265010768233,-0.03647256351610036,-0.10931241341431203,-0.022540408925499144,-0.217078085796536,-0.31960082154476516
2004-07-01,0.06910921922626559,-0.0398510880465508,-0.11736594077947429,-0.024580991882806692,-0.231941297355775,-0.34463009883834117
